faixa_hp,pokemon_id,nome,hp,ataque,defesa,velocidade
Médio,677,Espurr,62,48,54,68
Médio,678,MeowsticMale,74,48,76,104
Médio,680,Doublade,59,110,150,35
Médio,681,"AegislashBlade Forme",60,150,50,60
Médio,682,Spritzee,78,52,60,23
Médio,684,Swirlix,62,48,66,49
Médio,685,Slurpuff,82,80,86,72
Médio,686,Inkay,53,54,53,45
Médio,687,Malamar,86,92,88,73
Médio,689,Barbaracle,72,105,115,68
Médio,691,Dragalge,65,75,90,44
Médio,693,Clawitzer,71,73,88,59
Médio,695,Heliolisk,62,55,52,109
Médio,696,Tyrunt,58,89,77,48
Médio,697,Tyrantrum,82,121,119,71
Médio,698,Amaura,77,59,50,46
Médio,700,Sylveon,95,65,65,60
Médio,701,Hawlucha,78,92,75,118
Médio,702,Dedenne,67,58,57,101
Médio,705,Sliggoo,68,75,53,60
Médio,706,Goodra,90,100,70,80
Médio,707,Klefki,57,80,91,75
Médio,709,Trevenant,85,110,76,56
Médio,711,"GourgeistAverage Size",65,90,122,84
Médio,712,Bergmite,55,69,85,28
Médio,713,Avalugg,95,117,184,28
Médio,715,Noivern,85,70,80,123
Médio,720,"HoopaHoopa Confined",80,110,60,70
Médio,721,Volcanion,80,110,120,70
